"respondent_id","date","gender","education","job","type","category_id"
"60","2023-02-28","1","1","","x","154"
"61","2023-02-28","1","2","","x","154"
"62","2023-02-28","1","3","","x","154"
"63","2023-02-28","1","2","","x","154"
"64","2023-03-01","1","2","","x","154"
"65","2023-03-25","0","5","","y","154"
"66","2023-09-02","1","5","","x","154"
"67","2023-09-04","0","1","","x","154"
"68","2023-09-07","0","5","","x","154"
"69","2023-09-11","1","5","","x","154"
"70","2023-09-11","1","5","","x","154"
"71","2023-09-12","0","3","","x","154"
"72","2023-09-12","1","4","","x","154"
"73","2023-09-12","1","4","","x","154"
"74","2023-09-12","1","3","","x","154"
"75","2023-09-13","1","5","","x","154"
"76","2023-09-13","1","5","","x","154"
"77","2023-09-13","1","4","","x","154"
"78","2023-09-13","1","5","","x","154"
"79","2023-09-13","1","5","","x","154"
"80","2023-09-15","1","5","","y","154"
"81","2023-09-15","1","4","","x","154"
"82","2023-10-02","1","5","","x","154"
"83","2023-10-02","1","2","","x","154"
"84","2023-10-03","1","5","","y","154"
"85","2023-10-03","0","3","","y","154"
"86","2023-10-03","1","3","","y","154"
"87","2023-10-03","0","5","","y","154"
"88","2023-10-03","0","3","","y","154"
"89","2023-10-03","1","5","","y","154"
"90","2023-10-05","1","1","","y","154"
"91","2023-10-05","1","3","","y","154"
"92","2023-10-06","0","3","","y","154"
"93","2023-10-06","0","3","","y","154"
"94","2023-10-06","0","3","","y","154"
"95","2023-10-07","1","5","","x","154"
"96","2023-10-13","1","5","","x","154"
"97","2023-10-16","0","3","","y","154"
"98","2023-10-16","0","5","","y","154"
"99","2023-10-16","0","3","","y","154"
"100","2023-10-16","0","1","","y","154"
"101","2023-10-16","0","3","","y","154"
"102","2023-10-16","0","3","","y","154"
"103","2023-10-24","0","5","","y","154"
"104","2023-10-24","0","3","","y","154"
"105","2023-10-24","0","5","","y","154"
"106","2023-10-24","0","3","","y","154"
"107","2023-10-24","0","3","","y","154"
"108","2023-10-24","1","3","","y","154"
"109","2023-10-24","1","3","","y","154"
"110","2023-10-24","1","3","","y","154"
"111","2023-10-24","1","3","","y","154"
"112","2023-10-24","1","3","","y","154"
"113","2023-10-24","1","3","","y","154"
"114","2023-10-24","0","1","","y","154"
"115","2023-10-25","1","5","","y","154"
"116","2023-10-25","0","2","","y","154"
"117","2023-10-25","0","3","","y","154"
"118","2023-10-25","0","3","","y","154"
"119","2023-10-25","0","3","","y","154"
"120","2023-10-25","0","1","","y","154"
"121","2023-11-21","0","5","","x","154"
"122","2023-12-04","1","2","","y","154"
"123","2023-12-04","1","3","","x","154"
"124","2023-12-04","0","1","","x","154"
"125","2023-12-04","1","3","","y","154"
"126","2023-12-04","1","5","","x","154"
"127","2023-12-04","1","3","","x","154"
"128","2023-12-04","0","6","","x","154"
"129","2023-12-04","1","2","","y","154"
"130","2023-12-04","0","3","","x","154"
"131","2023-12-04","1","3","","x","154"
"132","2023-12-04","1","1","","y","154"
"133","2023-12-04","0","3","","x","154"
"134","2023-12-04","0","3","","y","154"
"135","2023-12-04","0","5","","y","154"
"136","2023-12-04","1","4","","y","154"
"137","2023-12-04","0","3","","x","154"
"138","2023-12-04","0","2","","x","154"
"139","2023-12-04","0","5","","y","154"
"140","2023-12-04","1","3","","x","154"
"141","2023-12-04","1","5","","y","154"
"142","2023-12-04","0","2","","y","154"
"143","2023-12-04","0","4","","y","154"
"144","2023-12-04","1","5","","y","154"
"145","2023-12-04","0","5","","y","154"
"146","2023-12-04","0","5","","y","154"
"147","2023-12-04","0","3","","y","154"
"148","2023-12-04","0","1","","y","154"
"149","2023-12-04","0","4","","y","154"
"150","2023-12-04","1","2","","y","154"
"151","2023-12-04","0","3","","y","154"
"152","2023-12-04","1","3","","y","154"
"153","2023-12-04","0","3","","y","154"
"154","2023-12-04","1","2","","y","154"
"155","2023-12-04","1","2","","y","154"
"156","2023-12-04","0","2","","y","154"
"157","2023-12-04","1","2","","x","154"
"158","2023-12-04","0","3","","y","154"
"159","2023-12-04","0","3","","y","154"
"160","2023-12-04","0","3","","x","154"
"161","2023-12-04","0","3","","y","154"
"162","2023-12-04","0","5","","y","154"
"163","2023-12-04","0","3","","y","154"
"164","2023-12-04","0","2","","y","154"
"165","2023-12-04","0","3","","y","154"
"166","2023-12-04","0","3","","y","154"
"167","2023-12-04","1","4","","y","154"
"168","2023-12-04","1","2","","x","154"
"169","2023-12-04","1","2","","y","154"
"170","2023-12-04","0","1","","y","154"
"171","2023-12-04","1","5","","x","154"
"172","2023-12-04","0","2","","y","154"
"173","2023-12-04","0","2","","x","154"
"174","2023-12-04","0","2","","y","154"
"175","2023-12-04","1","3","","y","154"
"176","2023-12-04","0","3","","y","154"
"177","2023-12-04","0","3","","y","154"
"178","2023-12-04","1","5","","y","154"
"179","2023-12-04","0","3","","y","154"
"180","2023-12-04","0","5","","y","154"
"181","2023-12-04","0","3","","y","154"
"182","2023-12-04","1","4","","y","154"
"183","2023-12-04","0","2","","y","154"
"184","2023-12-04","0","6","","y","154"
"185","2023-12-04","0","3","","x","154"
"186","2023-12-04","1","5","","y","154"
"187","2023-12-04","1","4","","y","154"
"188","2023-12-04","0","5","","y","154"
"189","2023-12-04","1","4","","x","154"
"190","2023-12-04","1","5","","x","154"
"191","2023-12-04","1","5","","y","154"
"192","2023-12-04","0","1","","y","154"
"193","2023-12-04","0","2","","y","154"
"194","2023-12-04","1","5","","y","154"
"195","2023-12-04","1","2","","x","154"
"196","2023-12-04","1","2","","y","154"
"197","2023-12-04","0","3","","x","154"
"198","2023-12-04","0","5","","y","154"
"199","2023-12-04","0","4","","y","154"
"200","2023-12-04","0","3","","y","154"
"201","2023-12-04","1","2","","x","154"
